gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Shilton Van Wyk,Bengaluru Bravehearts,Utility Back,1,1,14
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Vuiviwa Naduvalo,Kolkata Banga Tigers,Back,1,1,15
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Maurice Longbottom,Hyderabad Heroes,Back,1,1,16
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Nygel Pettersan Amaitsa,Delhi Redz,Back,1,1,17
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Aaron Cummings,Kolkata Banga Tigers,Forward,1,1,18
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Diego Ardao,Hyderabad Heroes,Forward,1,1,19
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Liam Poulton,Mumbai Dreamers,Back,1,1,20
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Arpan Chhetri,Bengaluru Bravehearts,Forward,1,1,21
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Manuel Moreno,Hyderabad Heroes,Forward,1,1,22
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Prince Khatri,Mumbai Dreamers,Back,1,1,23
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Javed Hussain,Delhi Redz,Back,1,1,24
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Ajay Deswal,Kolkata Banga Tigers,Forward,1,1,25
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Devendra Padir,Bengaluru Bravehearts,Forward,1,1,26
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Tusitafu Toilolo,Chennai Bulls,Back,1,1,27
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Hitesh Dagar,Delhi Redz,Forward,1,1,28
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Shotaro Tsuoka,Kolkata Banga Tigers,Back,1,1,29
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Niue Owen,Kolkata Banga Tigers,Back,1,1,30
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Lucas Mignot,Mumbai Dreamers,Back,1,1,31
Men,player,Most Offloads,7,Minimum 1 Offload in a match,Kamineli Rasuku,Chennai Bulls,Back,1,1,32
Men,player,Most Points,4,Minimum 1 Point in a match,Samuel Asati,Delhi Redz,Back,1,12,1
Men,player,Most Points,4,Minimum 1 Point in a match,Filipe Sauturaga,Chennai Bulls,Back,1,9,2
Men,player,Most Points,4,Minimum 1 Point in a match,Akuila Rokolisoa,Bengaluru Bravehearts,Back,1,8,3
Men,player,Most Points,4,Minimum 1 Point in a match,Vuiviwa Naduvalo,Kolkata Banga Tigers,Back,1,7,4
Men,player,Most Points,4,Minimum 1 Point in a match,Brady Rush,Kolkata Banga Tigers,Back,1,7,5
Men,player,Most Points,4,Minimum 1 Point in a match,Tusitafu Toilolo,Chennai Bulls,Back,1,7,6
Men,player,Most Points,4,Minimum 1 Point in a match,Guillaume Bouche,Mumbai Dreamers,Back,1,7,7
Men,player,Most Points,4,Minimum 1 Point in a match,Josep Serres,Delhi Redz,Right Wing,1,5,8
Men,player,Most Points,4,Minimum 1 Point in a match,Regan Ware,Hyderabad Heroes,Hybrid,1,5,9
Men,player,Most Points,4,Minimum 1 Point in a match,Henry Hutchison,Bengaluru Bravehearts,Hybrid,1,5,10
Men,player,Most Points,4,Minimum 1 Point in a match,James Turner,Mumbai Dreamers,Back,1,5,11
Men,player,Most Points,4,Minimum 1 Point in a match,Ryan Apps,Bengaluru Bravehearts,Back,1,5,12
Men,player,Most Points,4,Minimum 1 Point in a match,Diego Ardao,Hyderabad Heroes,Forward,1,5,13
Men,player,Most Points,4,Minimum 1 Point in a match,Manuel Moreno,Hyderabad Heroes,Forward,1,5,14
Men,player,Most Points,4,Minimum 1 Point in a match,Prince Khatri,Mumbai Dreamers,Back,1,5,15
Men,player,Most Points,4,Minimum 1 Point in a match,Devendra Padir,Bengaluru Bravehearts,Forward,1,5,16
Men,player,Most Points,4,Minimum 1 Point in a match,Lennox Wiese,Delhi Redz,Forward,1,5,17
Men,player,Most Points,4,Minimum 1 Point in a match,Jon Okoth Okeyo,Delhi Redz,Forward,1,5,18
Men,player,Most Points,4,Minimum 1 Point in a match,Ngarohi Mcgarvey,Bengaluru Bravehearts,Back,1,5,19
Men,player,Most Points,4,Minimum 1 Point in a match,Kamineli Rasuku,Chennai Bulls,Back,1,5,20
Men,player,Most Points,4,Minimum 1 Point in a match,Francisco Cosculluela,Hyderabad Heroes,inside Center,1,4,21
Men,player,Most Points,4,Minimum 1 Point in a match,Lucas Mignot,Mumbai Dreamers,Back,1,4,22
Men,player,Most Points,4,Minimum 1 Point in a match,Deepak Punia,Delhi Redz,Back,1,2,23
Men,player,Most Points,4,Minimum 1 Point in a match,Rajan Rawat,Hyderabad Heroes,Fly Half,1,2,24
Men,player,Most Points,4,Minimum 1 Point in a match,Alasio Naduva,Delhi Redz,Back,1,2,25
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Ricardo Duartee,Kolkata Banga Tigers,Back,1,6,1
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Brady Rush,Kolkata Banga Tigers,Back,1,5,2
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Kaleem Baretto,Mumbai Dreamers,Scrum Half,1,5,3
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Henry Hutchison,Bengaluru Bravehearts,Hybrid,1,4,4
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Samuel Asati,Delhi Redz,Back,1,4,5
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Lucas Mignot,Mumbai Dreamers,Back,1,4,6
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Vuiviwa Naduvalo,Kolkata Banga Tigers,Back,1,3,7
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Filipe Sauturaga,Chennai Bulls,Back,1,3,8
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Akuila Rokolisoa,Bengaluru Bravehearts,Back,1,3,9
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Mohit Khatri,Chennai Bulls,Hybrid,1,3,10
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Sumit Roy,Hyderabad Heroes,Hybrid,1,3,11
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Ajay Deswal,Kolkata Banga Tigers,Forward,1,3,12
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Akash Balmiki,Bengaluru Bravehearts,Back,1,3,13
